DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lockoutTime,lastLogonTimestamp,msDS-SupportedEncryptionTypes,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,operatingSystemServicePack,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,lastSetTime,priorSetTime,givenName,userPrincipalName,gPCUserExtensionNames
"CN=Distributed COM Users,CN=Builtin,DC=domain,DC=local",group,"CN=Distributed COM Users,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8218,,8218,Distributed COM Users,X'54cda87a86d542428332dc2b94a060aa',,,,,,,,,,,,,X'01020000000000052000000032020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Distributed COM Users,"Members are allowed to launch, activate and use Distributed COM objects on this machine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distributed COM Users,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=IIS_IUSRS,CN=Builtin,DC=domain,DC=local",group,"CN=IIS_IUSRS,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8219,,8222,IIS_IUSRS,X'7e0572e03720414c8135e678ff4f10ee',,,,,,,,,,,,,X'01020000000000052000000038020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,IIS_IUSRS,Built-in group used by Internet Information Services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIS_IUSRS,536870912,,,,"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=domain,DC=local",foreignSecurityPrincipal,"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8220,,8220,S-1-5-17,X'7b723783d983b244a0921ac443b8ebad',,,,,,,,,,,,,X'010100000000000511000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,S-1-5-17,,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=IIS_IUSRS,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Cryptographic Operators,CN=Builtin,DC=domain,DC=local",group,"CN=Cryptographic Operators,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8223,,8223,Cryptographic Operators,X'76130ea55ba7284ca77eb52117276a76',,,,,,,,,,,,,X'01020000000000052000000039020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Cryptographic Operators,Members are authorized to perform cryptographic operations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptographic Operators,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Event Log Readers,CN=Builtin,DC=domain,DC=local",group,"CN=Event Log Readers,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8224,,8224,Event Log Readers,X'4065c773405c124483c806e09b43a3f7',,,,,,,,,,,,,X'0102000000000005200000003d020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Event Log Readers,Members of this group can read event logs from local machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event Log Readers,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Certificate Service DCOM Access,CN=Builtin,DC=domain,DC=local",group,"CN=Certificate Service DCOM Access,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8225,,8225,Certificate Service DCOM Access,X'2fab33bc736a62499eadf3fef74ff137',,,,,,,,,,,,,X'0102000000000005200000003e020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Certificate Service DCOM Access,Members of this group are allowed to connect to Certification Authorities in the enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Certificate Service DCOM Access,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Server,CN=System,DC=domain,DC=local",samServer,"CN=Server,CN=System,DC=domain,DC=local",4,20200606025650.0Z,20200606030243.0Z,,8226,,12694,Server,X'2cf78d6eec431a47870d7d5276ba5c35',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Sam-Server,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Server,,TRUE,,,,,,,,,,,,,,,,,,,,65543,,,,,,,,,,,,,,,,,,,,,,X'fe01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DC,OU=Domain Controllers,DC=domain,DC=local",computer,"CN=DC,OU=Domain Controllers,DC=domain,DC=local",4,20200606025742.0Z,20210416030743.0Z,,12293,,77848,DC,X'0b8659fadd90524193df16d46e1feb5e',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e97395e8030000',,,,,,,,,,"CN=Computer,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,DC,,,,,DC$,,,,,,,,,,,,,,,,,,,532480,0,0,0,0,0,132634524679687500,,132630160362343750,516,,9223372036854775807,101,DC$,805306369,,132630160632343750,31,,,,0,Windows Server 2008 R2 Enterprise,6.1 (7601),Service Pack 1,"CN=DC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=domain,DC=local",DC.domain.local,"CN=RID Set,CN=DC,OU=Domain Controllers,DC=domain,DC=local",TERMSRV/DC;TERMSRV/DC.domain.local;Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC.domain.local;HOST/DC/DOMAIN;ldap/DC/DOMAIN;ldap/DC.domain.local/ForestDnsZones.domain.local;ldap/DC.domain.local/DomainDnsZones.domain.local;DNS/DC.domain.local;GC/DC.domain.local/domain.local;RestrictedKrbHost/DC.domain.local;RestrictedKrbHost/DC;HOST/DC.domain.local/DOMAIN;HOST/DC;HOST/DC.domain.local;HOST/DC.domain.local/domain.local;ldap/DC.domain.local/DOMAIN;ldap/DC;ldap/DC.domain.local;ldap/DC.domain.local/domain.local;E3514235-4B06-11D1-AB04-00C04FC2DCD2/5b539e5b-a81d-4acf-b758-63bc3ef0322f/domain.local;ldap/5b539e5b-a81d-4acf-b758-63bc3ef0322f._msdcs.domain.local,"CN=WIN-TIQP3QG2QHR,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=krbtgt,CN=Users,DC=domain,DC=local",user,"CN=krbtgt,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606031959.0Z,,12324,,16519,krbtgt,X'121e89d59f31454e9e7f9eec5bc58bf4',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e97395f6010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;20200606031959.0Z;16010101000000.0Z,,,,,,,,,,,,krbtgt,Key Distribution Center Service Account,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",514,0,0,0,0,0,0,,132358858630468750,513,1,9223372036854775807,0,krbtgt,805306368,,,,,,,,,,,,,,kadmin/changepw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Computers,CN=Users,DC=domain,DC=local",group,"CN=Domain Computers,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12330,,12332,Domain Computers,X'a5d11d3a3eeb254db47889bd6004080e',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739503020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Domain Computers,All workstations and servers joined to the domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domain Computers,268435456,,,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Controllers,CN=Users,DC=domain,DC=local",group,"CN=Domain Controllers,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606031959.0Z,,12333,,16521,Domain Controllers,X'6992fb5e36edbf4883d746ca085bc2f5',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739504020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;20200606031959.0Z;16010101000000.0Z,,,,,,,,,,,,Domain Controllers,All domain controllers in the domain,,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",,,,,,,,,,,1,,,Domain Controllers,268435456,,,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Schema Admins,CN=Users,DC=domain,DC=local",group,"CN=Schema Admins,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20210421042513.0Z,,12336,,159819,Schema Admins,X'ff0f00dcb1e95648a6b7e8c3df262cd4',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739506020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Schema Admins,Designated administrators of the schema,,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",,,,,,,,,,,1,,,Schema Admins,268435456,,,,"CN=security_group_33,OU=Texas,DC=domain,DC=local;CN=Administrator,CN=Users,DC=domain,DC=local",-2147483640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Enterprise Admins,CN=Users,DC=domain,DC=local",group,"CN=Enterprise Admins,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606031958.0Z,,12339,,16505,Enterprise Admins,X'77edf7bad6d8844887522535a588134b',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739507020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Enterprise Admins,Designated administrators of the enterprise,,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local;CN=Administrators,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,1,,,Enterprise Admins,268435456,,,,"CN=Administrator,CN=Users,DC=domain,DC=local",-2147483640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Cert Publishers,CN=Users,DC=domain,DC=local",group,"CN=Cert Publishers,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12342,,12344,Cert Publishers,X'f2176d41f30503459d25eb1ead0fccd0',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739505020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Cert Publishers,Members of this group are permitted to publish certificates to the directory,,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",,,,,,,,,,,,,,Cert Publishers,536870912,,,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Admins,CN=Users,DC=domain,DC=local",group,"CN=Domain Admins,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20210421035902.0Z,,12345,,153497,Domain Admins,X'9b36345af0ab3e468d85ba080d33f2f8',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739500020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Domain Admins,Designated administrators of the domain,,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local;CN=Administrators,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,1,,,Domain Admins,268435456,,,,"CN=security_group_11,OU=Groups,OU=dev_admin,OU=Developers,OU=Texas,DC=domain,DC=local;CN=security_group_10,OU=Groups,OU=dev_admin,OU=Developers,OU=Texas,DC=domain,DC=local;CN=Jordan,CN=Users,DC=domain,DC=local;CN=Administrator,CN=Users,DC=domain,DC=local",-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Users,CN=Users,DC=domain,DC=local",group,"CN=Domain Users,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12348,,12350,Domain Users,X'8464d5b318547b48a5cfc913da2b248f',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739501020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Domain Users,All domain users,,,,,,,,,,,,,,,,,,,,,,"CN=Users,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,,,,Domain Users,268435456,,,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Guests,CN=Users,DC=domain,DC=local",group,"CN=Domain Guests,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12351,,12353,Domain Guests,X'999a3aae22659842acd7ee4f5af8f91b',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739502020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Domain Guests,All domain guests,,,,,,,,,,,,,,,,,,,,,,"CN=Guests,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,,,,Domain Guests,268435456,,,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Group Policy Creator Owners,CN=Users,DC=domain,DC=local",group,"CN=Group Policy Creator Owners,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12354,,12391,Group Policy Creator Owners,X'4797bc485c8123448674ed226b494728',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739508020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Group Policy Creator Owners,Members in this group can modify group policy for the domain,,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",,,,,,,,,,,,,,Group Policy Creator Owners,268435456,,,,"CN=Administrator,CN=Users,DC=domain,DC=local",-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RAS and IAS Servers,CN=Users,DC=domain,DC=local",group,"CN=RAS and IAS Servers,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12357,,12359,RAS and IAS Servers,X'6c5689589987b8429ba0d0de8cf37d91',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739529020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,RAS and IAS Servers,Servers in this group can access remote access properties of users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAS and IAS Servers,536870912,,,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Server Operators,CN=Builtin,DC=domain,DC=local",group,"CN=Server Operators,CN=Builtin,DC=domain,DC=local",4,20200606025743.0Z,20200606031958.0Z,,12360,,16511,Server Operators,X'50ed8d054c3a534a8eeb5ac687795470',,,,,,,,,,,,,X'01020000000000052000000025020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Server Operators,Members can administer domain servers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Server Operators,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Account Operators,CN=Builtin,DC=domain,DC=local",group,"CN=Account Operators,CN=Builtin,DC=domain,DC=local",4,20200606025743.0Z,20200606031958.0Z,,12363,,16516,Account Operators,X'de8b048502c13447bc98b5344562c3ac',,,,,,,,,,,,,X'01020000000000052000000024020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Account Operators,Members can administer domain user and group accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Account Operators,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=domain,DC=local",group,"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12366,,12393,Pre-Windows 2000 Compatible Access,X'82abb4a107e7b24ca3843bc420a1bd0f',,,,,,,,,,,,,X'0102000000000005200000002a020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Pre-Windows 2000 Compatible Access,A backward compatibility group which allows read access on all users and groups in the domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Windows 2000 Compatible Access,536870912,,,,"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=domain,DC=local",group,"CN=Incoming Forest Trust Builders,CN=Builtin,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12369,,12371,Incoming Forest Trust Builders,X'c92eb0d77318444fa69c1467b5a36f3a',,,,,,,,,,,,,X'0102000000000005200000002d020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Incoming Forest Trust Builders,"Members of this group can create incoming, one-way trusts to this forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incoming Forest Trust Builders,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows Authorization Access Group,CN=Builtin,DC=domain,DC=local",group,"CN=Windows Authorization Access Group,CN=Builtin,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12372,,12396,Windows Authorization Access Group,X'a7c89ecedc0dc24686735b9f57b28f46',,,,,,,,,,,,,X'01020000000000052000000030020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Windows Authorization Access Group,Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Authorization Access Group,536870912,,,,"CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Terminal Server License Servers,CN=Builtin,DC=domain,DC=local",group,"CN=Terminal Server License Servers,CN=Builtin,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12375,,12377,Terminal Server License Servers,X'995bff6a8264cf41af9da6b8b1285828',,,,,,,,,,,,,X'01020000000000052000000031020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Terminal Server License Servers,"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminal Server License Servers,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=domain,DC=local",foreignSecurityPrincipal,"CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12394,,12394,S-1-5-9,X'9cbf6a2d2ed509499493120051715a7b',,,,,,,,,,,,,X'010100000000000509000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,S-1-5-9,,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=Windows Authorization Access Group,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6E157EDF-4E72-4052-A82A-EC3F91021A22,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=6E157EDF-4E72-4052-A82A-EC3F91021A22,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12397,,12397,6E157EDF-4E72-4052-A82A-EC3F91021A22,X'41cd84a058424148a70e711e69a776b3',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,6E157EDF-4E72-4052-A82A-EC3F91021A22,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Allowed RODC Password Replication Group,CN=Users,DC=domain,DC=local",group,"CN=Allowed RODC Password Replication Group,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12402,,12404,Allowed RODC Password Replication Group,X'5637fa0a85b3ea4c9174959196d9f0b0',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e973953b020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Allowed RODC Password Replication Group,Members in this group can have their passwords replicated to all read-only domain controllers in the domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed RODC Password Replication Group,536870912,,,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",group,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606025743.0Z,,12405,,12433,Denied RODC Password Replication Group,X'e39c547d28b96b4bb9ce343317a93647',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e973953c020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Denied RODC Password Replication Group,Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denied RODC Password Replication Group,536870912,,,,"CN=Read-only Domain Controllers,CN=Users,DC=domain,DC=local;CN=Group Policy Creator Owners,CN=Users,DC=domain,DC=local;CN=Domain Admins,CN=Users,DC=domain,DC=local;CN=Cert Publishers,CN=Users,DC=domain,DC=local;CN=Enterprise Admins,CN=Users,DC=domain,DC=local;CN=Schema Admins,CN=Users,DC=domain,DC=local;CN=Domain Controllers,CN=Users,DC=domain,DC=local;CN=krbtgt,CN=Users,DC=domain,DC=local",-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Read-only Domain Controllers,CN=Users,DC=domain,DC=local",group,"CN=Read-only Domain Controllers,CN=Users,DC=domain,DC=local",4,20200606025743.0Z,20200606031959.0Z,,12419,,16522,Read-only Domain Controllers,X'adf20bdb5f83a5468ac85128737c665a',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e9739509020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;20200606031959.0Z;16010101000000.0Z,,,,,,,,,,,,Read-only Domain Controllers,Members of this group are Read-Only Domain Controllers in the domain,,,,,,,,,,,,,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=domain,DC=local",,,,,,,,,,,1,,,Read-only Domain Controllers,268435456,,,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
